000243 | mem   | pc=0052 acc=30          z=0 n=0 irq=0 | acc <- mem[29]
000244 | fetch | pc=0053 acc=30          z=0 n=0 irq=0 | 0052: add 0
000245 | mem   | pc=0053 acc=30          z=0 n=0 irq=0 | operand <- mem[0]
000246 | exec  | pc=0053 acc=31          z=0 n=0 irq=0 | acc += mem[0]
000247 | fetch | pc=0054 acc=31          z=0 n=0 irq=0 | 0053: st 29
000248 | addr  | pc=0054 acc=31          z=0 n=0 irq=0 | data address <- 29
000249 | mem   | pc=0054 acc=31          z=0 n=0 irq=0 | mem[29] <- acc
000250 | fetch | pc=0055 acc=31          z=0 n=0 irq=0 | 0054: ld 28
000251 | addr  | pc=0055 acc=31          z=0 n=0 irq=0 | data address <- 28
000252 | mem   | pc=0055 acc=0           z=1 n=0 irq=0 | acc <- mem[28]
000253 | fetch | pc=0056 acc=0           z=1 n=0 irq=0 | 0055: add 0
000254 | mem   | pc=0056 acc=0           z=1 n=0 irq=0 | operand <- mem[0]
000255 | exec  | pc=0056 acc=1           z=0 n=0 irq=0 | acc += mem[0]
000256 | fetch | pc=0057 acc=1           z=0 n=0 irq=0 | 0056: st 28
000257 | addr  | pc=0057 acc=1           z=0 n=0 irq=0 | data address <- 28
000258 | mem   | pc=0057 acc=1           z=0 n=0 irq=0 | mem[28] <- acc
000259 | fetch | pc=0058 acc=1           z=0 n=0 irq=0 | 0057: ld 27
000260 | addr  | pc=0058 acc=1           z=0 n=0 irq=0 | data address <- 27
000261 | mem   | pc=0058 acc=8           z=0 n=0 irq=0 | acc <- mem[27]
000262 | fetch | pc=0059 acc=8           z=0 n=0 irq=0 | 0058: div 1
000263 | mem   | pc=0059 acc=8           z=0 n=0 irq=0 | operand <- mem[1]
000264 | exec  | pc=0059 acc=8           z=0 n=0 irq=0 | div operands ready
000265 | alu   | pc=0059 acc=0           z=1 n=0 irq=0 | acc /= mem[1]
000266 | fetch | pc=0060 acc=0           z=1 n=0 irq=0 | 0059: st 27
000267 | addr  | pc=0060 acc=0           z=1 n=0 irq=0 | data address <- 27
000268 | mem   | pc=0060 acc=0           z=1 n=0 irq=0 | mem[27] <- acc
000269 | fetch | pc=0061 acc=0           z=1 n=0 irq=0 | 0060: jmp 46
000270 | exec  | pc=0046 acc=0           z=1 n=0 irq=0 | pc <- 46
